id,name,label,description,companyId
16,General Hospital,general-hospital,"Provide a wide range of services including emergency care, surgery, internal medicine, pediatrics, and obstetrics.",53
17,Cardiac Hospitals,cardiac-hospitals,Specialize in the diagnosis and treatment of heart conditions.,53
18,Oncology Hospitals,oncology-hospitals,Specialize in cancer treatment,53
19,Orthopedic Hospitals,orthopedic-hospitals,Focus on the musculoskeletal system,53
20,Psychiatric Hospitals,psychiatric-hospitals,Specialize in the treatment of mental health disorders,53
21,Children’s Hospitals,childrens-hospitals,"Provide medical care specifically for infants, children, and adolescents.",53
22,Maternity Hospitals,maternity-hospitals,Focus on childbirth and the care of women giving birth.,53
23,Rehabilitation Hospitals,rehabilitation-hospitals,"Provide therapy and rehabilitation services for patients recovering from injuries, surgeries, or illnesses.",53
24,Dental Clinics,dental-clinics,"Specialize in oral health services including preventive care, diagnosis, and treatment of dental conditions.",53
25,Optical Clinics,optical-clinics,"Focus on eye care and vision health.
Services include eye exams, prescription glasses and contact lenses, treatment of eye diseases, and surgical procedures like LASIK.",53
